item_name,latest_price,lifetime_price_%_change,30d_price_%_change,lifetime_volume,30d_volume_metric,lifetime_market_cap,30d_market_cap,lifetime_average_price,last_30d_average_price
Negev | Lionfish (Minimal Wear),0.6,-88.0,25.37,514764,2106,269472.0,1257.0,0.55,0.59
StatTrak™ Five-SeveN | Flame Test (Factory New),0.9,-88.0,25.18,157660,1087,102682.0,747.0,0.69,0.69
StatTrak™ Glock-18 | Bunsen Burner (Field-Tested),0.8,-76.0,25.08,1002333,2196,677375.0,1668.0,0.68,0.77
StatTrak™ MP9 | Goo (Field-Tested),1.3,-68.0,24.66,211606,1320,154593.0,1565.0,0.82,1.17
Glock-18 | Block-18 (Battle-Scarred),0.9,-76.0,24.08,31746,2984,32778.0,2443.0,0.88,0.82
Dual Berettas | Melondrama (Field-Tested),1.4,-92.0,23.72,271237,7073,504792.0,9809.0,1.78,1.37
MP7 | Abyssal Apparition (Field-Tested),1.4,-93.0,23.71,251106,6260,458687.0,8519.0,1.74,1.34
The Elite Mr. Muhlik | Elite Crew,8.7,141.0,23.68,758326,5701,1849218.0,47882.0,4.3,8.56
M4A4 | The Emperor (Battle-Scarred),7.5,-73.0,23.47,136472,1333,1136723.0,9073.0,8.82,6.8
XM1014 | Ziggy (Minimal Wear),0.8,-67.0,23.41,313354,1439,145381.0,1025.0,0.52,0.71
Dual Berettas | Twin Turbo (Well-Worn),1.2,-85.0,23.34,37113,1180,78570.0,1225.0,2.17,1.02
MP5-SD | Kitbash (Minimal Wear),0.7,-89.0,23.17,449744,6785,334572.0,4450.0,0.72,0.65
MAC-10 | Allure (Factory New),1.5,-89.0,23.05,79755,1209,119755.0,1801.0,1.55,1.48
Primeiro Tenente | Brazilian 1st Battalion,26.4,462.0,22.89,169359,1330,983047.0,32593.0,14.88,24.68
UMP-45 | Moonrise (Factory New),1.3,-74.0,22.76,373092,1731,347988.0,2348.0,1.01,1.34
P2000 | Acid Etched (Minimal Wear),0.8,-86.0,22.68,295464,1865,230941.0,1265.0,0.71,0.68
AUG | Momentum (Battle-Scarred),1.3,-79.0,22.52,194264,1239,265900.0,1502.0,1.3,1.17
Glock-18 | Vogue (Battle-Scarred),2.3,-86.0,22.45,226568,3284,637902.0,6975.0,2.82,2.1
PP-Bizon | Photic Zone (Field-Tested),0.6,76.0,22.22,620018,1403,84187.0,860.0,0.22,0.58
SG 553 | Tiger Moth (Minimal Wear),1.7,-56.0,22.18,244799,1135,316317.0,1689.0,1.52,1.4
Sawed-Off | Apocalypto (Minimal Wear),0.7,-89.0,22.0,309671,2045,234864.0,1356.0,0.7,0.67
P250 | Wingshot (Battle-Scarred),1.3,-60.0,21.88,315838,1090,203051.0,1374.0,0.75,1.24
Sawed-Off | Amber Fade (Factory New),0.5,-81.0,21.75,1014341,14386,434220.0,8746.0,0.45,0.59
R8 Revolver | Skull Crusher (Field-Tested),1.7,-78.0,21.51,224261,1163,364017.0,1931.0,1.52,1.54
MP7 | Anodized Navy (Factory New),0.5,-84.0,21.36,2386702,37198,1054462.0,20742.0,0.47,0.55
P250 | Muertos (Field-Tested),4.9,-55.0,21.35,571766,1195,1067736.0,5423.0,2.56,4.57
Jungle Rebel | Elite Crew,14.3,1410.0,21.32,196341,1455,414713.0,19204.0,7.27,13.34
FAMAS | Rapid Eye Movement (Field-Tested),1.4,-92.0,21.05,271783,7625,494942.0,10391.0,1.76,1.36
P250 | Forest Night (Minimal Wear),0.9,1136.0,20.85,281966,1302,31915.0,1053.0,0.33,0.8
M4A1-S | Basilisk (Field-Tested),5.4,138.0,20.55,2099697,2469,2454432.0,11686.0,2.22,4.8
