ITEM,MAIN_NAME
USP-S | Cyrex (Field-Tested),Cyrex
AK-47 | Steel Delta (Field-Tested),Steel Delta
AK-47 | Emerald Pinstripe (Minimal Wear),Emerald Pinstripe
CS20 Case,CS20 Case
AK-47 | Emerald Pinstripe (Field-Tested),Emerald Pinstripe
AK-47 | Ice Coaled (Field-Tested),Ice Coaled
USP-S | Black Lotus (Minimal Wear),Black Lotus
Sticker | FURIA (Holo) | Paris 2023,FURIA
Sticker | Co Co Co,Co Co Co
Shattered Web Case,Shattered Web Case
eSports 2014 Summer Case,eSports 2014 Summer Case
CZ75-Auto | Tuxedo (Factory New),Tuxedo
Stockholm 2021 Challengers Sticker Capsule,Stockholm 2021 Challengers Sticker Capsule
Desert Eagle | Corinthian (Factory New),Corinthian
"Music Kit | KILL SCRIPT, All Night","KILL SCRIPT, All Night"
Operation Bravo Case,Operation Bravo Case
AK-47 | Head Shot (Battle-Scarred),Head Shot
"Music Kit | Juelz, Shooters","Juelz, Shooters"
StatTrak™ Desert Eagle | Bronze Deco (Field-Tested),Bronze Deco
Chroma 3 Case,Chroma 3 Case
USP-S | Torque (Factory New),Torque
Horizon Case,Horizon Case
R8 Revolver | Blaze (Factory New),Blaze
Danger Zone Case,Danger Zone Case
M4A1-S | VariCamo (Field-Tested),VariCamo
M4A1-S | Nitro (Minimal Wear),Nitro
AK-47 | Nightwish (Minimal Wear),Nightwish
Prisma 2 Case,Prisma 2 Case
StatTrak™ Desert Eagle | Blue Ply (Well-Worn),Blue Ply
Stockholm 2021 Finalists Autograph Capsule,Stockholm 2021 Finalists Autograph Capsule
Desert Eagle | Meteorite (Minimal Wear),Meteorite
Soldier | Phoenix,Phoenix
Stockholm 2021 Legends Sticker Capsule,Stockholm 2021 Legends Sticker Capsule
Sticker | MOUZ (Holo) | Paris 2023,MOUZ
Sticker | Fluxo (Holo) | Paris 2023,Fluxo
AWP | Exoskeleton (Field-Tested),Exoskeleton
Sticker | FaZe Clan (Holo) | Paris 2023,FaZe Clan
Desert Eagle | Trigger Discipline (Field-Tested),Trigger Discipline
"Music Kit | Denzel Curry, ULTIMATE","Denzel Curry, ULTIMATE"
Sticker | Loving Eyes (Holo),Loving Eyes
Operation Phoenix Weapon Case,Operation Phoenix Weapon Case
Chroma Case,Chroma Case
Huntsman Weapon Case,Huntsman Weapon Case
CZ75-Auto | Tuxedo (Minimal Wear),Tuxedo
Sticker | Complexity Gaming (Holo) | Paris 2023,Complexity Gaming
USP-S | Cortex (Minimal Wear),Cortex
Desert Eagle | Light Rail (Minimal Wear),Light Rail
Paris 2023 Ancient Souvenir Package,Paris 2023 Ancient Souvenir Package
1st Lieutenant Farlow | SWAT,SWAT
"Music Kit | Rad Cat, Reason","Rad Cat, Reason"
Sticker | Gold Web,Gold Web
USP-S | Torque (Minimal Wear),Torque
Operation Vanguard Weapon Case,Operation Vanguard Weapon Case
Desert Eagle | Meteorite (Factory New),Meteorite
SSG 08 | Prey (Factory New),Prey
AK-47 | Head Shot (Field-Tested),Head Shot
SG 553 | Damascus Steel (Minimal Wear),Damascus Steel
Desert Eagle | Trigger Discipline (Minimal Wear),Trigger Discipline
AK-47 | Uncharted (Well-Worn),Uncharted
SSG 08 | Fever Dream (Minimal Wear),Fever Dream
Stockholm 2021 Contenders Sticker Capsule,Stockholm 2021 Contenders Sticker Capsule
Shadow Case,Shadow Case
PP-Bizon | Brass (Minimal Wear),Brass
3rd Commando Company | KSK,KSK
P250 | Asiimov (Battle-Scarred),Asiimov
FAMAS | ZX Spectron (Field-Tested),ZX Spectron
AWP | Doodle Lore (Field-Tested),Doodle Lore
USP-S | Check Engine (Minimal Wear),Check Engine
P250 | Drought (Factory New),Drought
USP-S | Cyrex (Factory New),Cyrex
StatTrak™ USP-S | Ticket to Hell (Minimal Wear),Ticket to Hell
CS:GO Weapon Case 3,CS:GO Weapon Case 3
USP-S | Black Lotus (Field-Tested),Black Lotus
M4A1-S | VariCamo (Minimal Wear),VariCamo
P2000 | Amber Fade (Minimal Wear),Amber Fade
Slingshot | Phoenix,Phoenix
USP-S | Black Lotus (Battle-Scarred),Black Lotus
Desert Eagle | Mecha Industries (Field-Tested),Mecha Industries
USP-S | Check Engine (Factory New),Check Engine
Operation Riptide Case,Operation Riptide Case
Markus Delrow | FBI HRT,FBI HRT
Sticker | Broken Fang,Broken Fang
StatTrak™ Desert Eagle | Oxide Blaze (Field-Tested),Oxide Blaze
Desert Eagle | Light Rail (Field-Tested),Light Rail
Falchion Case,Falchion Case
Sticker | Vitality (Holo) | Paris 2023,Vitality
Copenhagen 2024 Mirage Souvenir Package,Copenhagen 2024 Mirage Souvenir Package
Desert Eagle | Light Rail (Well-Worn),Light Rail
Osiris | Elite Crew,Elite Crew
CS:GO Weapon Case 2,CS:GO Weapon Case 2
P2000 | Amber Fade (Factory New),Amber Fade
Kilowatt Case,Kilowatt Case
Desert Eagle | Light Rail (Battle-Scarred),Light Rail
StatTrak™ Desert Eagle | Trigger Discipline (Field-Tested),Trigger Discipline
Community Sticker Capsule 1,Community Sticker Capsule 1
Sticker Capsule 2,Sticker Capsule 2
Enforcer | Phoenix,Phoenix
Lt. Commander Ricksaw | NSWC SEAL,NSWC SEAL
B Squadron Officer | SAS,SAS
