date,price_pounds,volume
2019-02-03,2.09,747
2019-02-04,2.096,936
2019-02-05,2.09,980
2019-02-06,2.072,785
2019-02-07,2.068,762
2019-02-08,2.108,984
2019-02-09,2.099,682
2019-02-10,2.093,767
2019-02-11,2.075,690
2019-02-12,2.07,1071
2019-02-13,2.073,558
2019-02-14,2.075,592
2019-02-15,2.08,625
2019-02-16,2.08,718
2019-02-17,2.081,537
2019-02-18,2.083,482
2019-02-19,2.083,654
2019-02-20,2.082,590
2019-02-21,2.074,719
2019-02-22,2.071,738
2019-02-23,2.089,785
2019-02-24,2.097,787
2019-02-25,2.084,605
2019-02-26,2.091,633
2019-02-27,2.09,717
2019-02-28,2.081,827
2019-03-01,2.076,728
2019-03-02,2.076,1453
2019-03-03,2.077,995
2019-03-04,2.074,1029
2019-03-05,2.072,927
2019-03-06,2.148,657
2019-03-07,2.174,367
2019-03-08,2.155,430
2019-03-09,2.147,683
2019-03-10,2.098,620
2019-03-11,2.107,584
2019-03-12,2.117,634
2019-03-13,2.085,478
2019-03-14,2.068,639
2019-03-15,2.077,669
2019-03-16,2.134,1000
2019-03-17,2.142,843
2019-03-18,2.145,679
2019-03-19,2.14,723
2019-03-20,2.126,493
2019-03-21,2.105,522
2019-03-22,2.106,556
2019-03-23,2.087,846
2019-03-24,2.076,1062
2019-03-25,2.049,770
2019-03-26,2.057,629
2019-03-27,2.062,712
2019-03-28,1.992,806
2019-03-29,1.975,979
2019-03-30,1.989,987
2019-03-31,1.991,1095
2019-04-01,1.984,715
2019-04-02,1.991,664
2019-04-03,2.018,732
2019-04-04,2.015,843
2019-04-05,1.997,800
2019-04-06,1.986,1116
2019-04-07,1.979,1298
2019-04-08,1.982,1082
2019-04-09,1.97,1108
2019-04-10,1.976,1221
2019-04-11,1.989,972
2019-04-12,2.004,864
2019-04-13,2.021,929
2019-04-14,2.017,1010
2019-04-15,2.017,1248
2019-04-16,2.018,944
2019-04-17,2.005,954
2019-04-18,2.03,734
2019-04-19,2.002,984
2019-04-20,2.0,1164
2019-04-21,2.007,945
2019-04-22,2.018,868
2019-04-23,2.015,732
2019-04-24,1.993,1324
2019-04-25,1.966,1826
2019-04-26,1.946,1596
2019-04-27,1.966,1237
2019-04-28,1.956,1400
2019-04-29,1.954,2143
2019-04-30,1.939,2086
2019-05-01,1.951,2631
2019-05-02,1.952,2526
2019-05-03,1.941,2537
2019-05-04,1.943,2175
2019-05-05,1.939,2843
2019-05-06,1.94,2756
2019-05-07,1.917,3023
2019-05-08,1.989,1643
2019-05-09,2.014,897
2019-05-10,2.012,1300
2019-05-11,2.089,997
2019-05-12,2.134,1032
2019-05-13,2.137,733
2019-05-14,2.155,860
2019-05-15,2.156,1176
2019-05-16,2.142,1031
2019-05-17,2.14,1029
2019-05-18,2.137,1109
2019-05-19,2.136,1218
2019-05-20,2.143,1518
2019-05-21,2.142,1048
2019-05-22,2.131,856
