date,price_usd,volume
2024-05-30,0.829,2735
2024-05-30,0.814,2856
2024-05-30,0.81,3412
2024-05-30,0.787,3039
2024-05-30,0.762,3315
2024-05-30,0.753,3461
2024-05-30,0.781,4702
2024-05-30,0.762,4209
2024-05-30,0.774,4768
2024-05-30,0.758,4623
2024-05-30,0.766,4574
2024-05-30,0.761,4680
2024-05-30,0.767,4921
2024-05-30,0.758,4635
2024-05-30,0.766,4293
2024-05-30,0.782,3270
2024-05-31,0.798,3172
2024-05-31,0.814,3306
2024-05-31,0.828,3058
2024-05-31,0.845,4532
2024-05-31,0.855,3712
2024-05-31,0.861,3037
2024-05-31,0.861,2406
2024-05-31,0.861,2217
2024-05-31,0.806,2412
2024-05-31,0.793,2568
2024-05-31,0.803,2939
2024-05-31,0.821,3461
2024-05-31,0.804,3252
2024-05-31,0.821,4177
2024-05-31,0.804,3415
2024-05-31,0.795,3950
2024-05-31,0.812,4590
2024-05-31,0.829,5207
2024-05-31,0.838,4838
2024-05-31,0.848,5132
2024-05-31,0.838,5308
2024-05-31,0.837,5242
2024-05-31,0.841,5221
2024-05-31,0.861,4899
2024-06-01,0.867,4279
2024-06-01,0.869,3674
2024-06-01,0.877,3832
2024-06-01,0.894,4373
2024-06-01,0.885,4389
2024-06-01,0.885,4021
2024-06-01,0.885,3088
2024-06-01,0.892,3847
2024-06-01,0.877,2676
2024-06-01,0.877,2988
2024-06-01,0.861,3520
2024-06-01,0.867,3158
2024-06-01,0.858,2684
2024-06-01,0.867,3460
2024-06-01,0.876,3981
2024-06-01,0.883,3989
2024-06-01,0.885,4415
2024-06-01,0.897,4071
2024-06-01,0.918,4789
2024-06-01,0.924,4251
2024-06-01,0.935,3693
2024-06-01,0.944,3918
2024-06-01,0.948,3746
2024-06-01,0.956,3712
2024-06-02,0.972,4304
2024-06-02,0.977,3656
2024-06-02,0.979,3299
2024-06-02,0.979,3210
2024-06-02,0.991,3201
2024-06-02,0.995,2634
2024-06-02,0.997,2095
2024-06-02,0.995,2635
2024-06-02,0.979,1597
2024-06-02,0.995,2481
2024-06-02,0.994,1135
2024-06-02,0.986,2292
2024-06-02,0.979,3204
2024-06-02,0.964,3051
2024-06-02,0.961,2952
2024-06-02,0.962,3808
2024-06-02,0.972,3787
2024-06-02,0.979,3508
2024-06-02,0.995,3858
2024-06-02,0.995,3929
2024-06-02,1.003,4322
2024-06-02,1.012,4044
2024-06-02,1.019,3839
2024-06-02,1.03,3010
2024-06-03,1.031,2504
2024-06-03,1.038,2232
2024-06-03,1.044,2312
2024-06-03,1.051,2436
2024-06-03,1.058,2427
2024-06-03,1.064,2179
2024-06-03,1.069,1808
2024-06-03,1.066,1420
2024-06-03,1.055,1888
2024-06-03,1.035,1432
2024-06-03,1.009,1791
2024-06-03,1.004,1897
2024-06-03,1.017,2087
2024-06-03,1.023,2129
2024-06-03,1.003,1957
2024-06-03,1.003,2425
2024-06-03,1.017,2903
2024-06-03,1.03,3075
2024-06-03,1.037,2975
2024-06-03,1.055,3353
2024-06-03,1.064,3537
2024-06-03,1.048,2547
2024-06-03,1.045,2367
2024-06-03,1.066,2027
2024-06-04,1.065,2031
2024-06-04,1.083,1929
2024-06-04,1.086,1973
2024-06-04,1.066,1932
2024-06-04,1.063,2372
2024-06-04,1.066,2921
2024-06-04,1.058,1854
2024-06-04,1.035,1440
2024-06-04,1.047,1787
2024-06-04,1.036,1458
2024-06-04,0.991,1394
2024-06-04,0.999,1978
2024-06-04,1.017,2547
2024-06-04,0.985,1805
2024-06-04,0.991,2104
2024-06-04,0.981,2060
2024-06-04,0.985,2513
2024-06-04,0.994,2874
2024-06-04,0.945,4981
2024-06-04,0.925,5147
2024-06-04,0.965,3257
2024-06-04,0.987,2600
2024-06-04,1.011,2970
2024-06-04,1.019,2428
2024-06-05,1.019,2407
2024-06-05,1.027,2481
2024-06-05,1.003,2412
2024-06-05,0.964,2416
2024-06-05,0.948,2705
2024-06-05,0.932,1982
2024-06-05,0.93,2461
2024-06-05,0.885,2244
2024-06-05,0.867,2243
2024-06-05,0.843,2363
2024-06-05,0.824,2629
2024-06-05,0.815,2726
2024-06-05,0.814,3960
2024-06-05,0.814,3612
2024-06-05,0.812,4345
2024-06-05,0.812,4679
2024-06-05,0.814,4617
2024-06-05,0.818,4693
2024-06-05,0.824,4541
2024-06-05,0.824,5341
2024-06-05,0.824,6315
2024-06-05,0.824,5522
2024-06-05,0.832,4732
2024-06-05,0.832,3605
2024-06-06,0.845,3329
2024-06-06,0.853,3317
2024-06-06,0.853,3342
2024-06-06,0.861,2944
2024-06-06,0.861,3232
2024-06-06,0.861,2870
2024-06-06,0.861,2507
2024-06-06,0.838,2234
2024-06-06,0.829,2837
2024-06-06,0.812,2919
2024-06-06,0.813,3777
2024-06-06,0.805,3522
2024-06-06,0.801,3843
2024-06-06,0.785,3395
2024-06-06,0.789,3760
2024-06-06,0.779,3501
2024-06-06,0.778,3829
2024-06-06,0.786,4013
2024-06-06,0.789,4616
2024-06-06,0.782,3922
2024-06-06,0.776,4155
2024-06-06,0.79,4291
2024-06-06,0.79,3677
2024-06-06,0.807,3378
2024-06-07,0.814,3031
2024-06-07,0.817,2964
2024-06-07,0.821,2872
2024-06-07,0.814,3091
2024-06-07,0.814,2599
2024-06-07,0.814,2694
2024-06-07,0.814,2804
2024-06-07,0.798,2175
2024-06-07,0.79,2434
2024-06-07,0.793,2979
2024-06-07,0.786,2597
2024-06-07,0.781,2793
2024-06-07,0.778,3090
2024-06-07,0.776,2916
2024-06-07,0.774,3585
2024-06-07,0.772,3676
2024-06-07,0.769,3378
2024-06-07,0.79,4817
2024-06-07,0.793,4775
2024-06-07,0.799,4832
2024-06-07,0.799,4375
2024-06-07,0.794,4195
2024-06-07,0.794,3651
2024-06-07,0.806,3572
2024-06-08,0.806,3240
2024-06-08,0.812,3946
2024-06-08,0.798,4169
2024-06-08,0.798,4244
2024-06-08,0.798,4130
2024-06-08,0.798,3718
2024-06-08,0.798,3171
2024-06-08,0.79,3002
2024-06-08,0.776,3178
2024-06-08,0.766,2481
2024-06-08,0.76,2937
2024-06-08,0.76,2589
2024-06-08,0.753,2622
2024-06-08,0.75,2870
2024-06-08,0.765,4063
2024-06-08,0.764,4067
2024-06-08,0.774,3957
2024-06-08,0.774,3539
2024-06-08,0.777,4117
2024-06-08,0.781,4420
2024-06-08,0.786,4444
2024-06-08,0.782,3905
2024-06-08,0.789,4227
2024-06-08,0.784,3438
2024-06-09,0.79,3411
2024-06-09,0.796,3040
2024-06-09,0.798,3434
2024-06-09,0.798,3216
2024-06-09,0.798,3734
2024-06-09,0.798,3389
2024-06-09,0.798,2831
2024-06-09,0.795,2917
2024-06-09,0.785,2355
2024-06-09,0.781,2559
2024-06-09,0.772,2500
2024-06-09,0.764,2514
2024-06-09,0.766,3023
2024-06-09,0.76,2923
2024-06-09,0.764,3801
2024-06-09,0.773,3727
2024-06-09,0.766,3549
2024-06-09,0.766,3766
2024-06-09,0.777,4045
2024-06-09,0.782,4160
2024-06-09,0.786,3835
2024-06-09,0.79,3897
2024-06-09,0.79,3433
2024-06-09,0.795,2716
2024-06-10,0.798,2456
2024-06-10,0.807,2653
2024-06-10,0.798,2665
2024-06-10,0.798,2742
2024-06-10,0.798,3276
2024-06-10,0.798,2504
2024-06-10,0.798,2451
2024-06-10,0.795,2645
2024-06-10,0.79,2290
2024-06-10,0.786,2910
2024-06-10,0.786,2856
2024-06-10,0.781,2692
2024-06-10,0.775,2250
2024-06-10,0.782,2845
2024-06-10,0.784,3760
2024-06-10,0.782,3546
2024-06-10,0.781,3130
2024-06-10,0.787,3820
2024-06-10,0.785,3754
2024-06-10,0.79,3753
2024-06-10,0.796,3481
2024-06-10,0.796,3149
2024-06-10,0.798,3041
2024-06-10,0.805,2368
2024-06-11,0.813,2496
2024-06-11,0.809,2589
2024-06-11,0.813,2740
2024-06-11,0.808,2816
2024-06-11,0.798,2529
2024-06-11,0.798,2106
2024-06-11,0.798,2992
2024-06-11,0.798,2911
2024-06-11,0.79,3345
2024-06-11,0.784,2200
2024-06-11,0.78,1889
2024-06-11,0.764,1957
2024-06-11,0.771,2479
2024-06-11,0.762,2590
2024-06-11,0.767,2816
2024-06-11,0.774,3091
2024-06-11,0.774,3080
2024-06-11,0.781,3183
2024-06-11,0.78,3099
2024-06-11,0.782,3882
2024-06-11,0.782,3086
2024-06-11,0.779,3033
2024-06-11,0.782,2982
2024-06-11,0.782,2233
2024-06-12,0.782,2466
2024-06-12,0.79,2875
2024-06-12,0.774,3166
2024-06-12,0.763,3195
2024-06-12,0.75,2966
2024-06-12,0.756,3013
2024-06-12,0.744,2551
2024-06-12,0.742,2596
2024-06-12,0.727,2541
2024-06-12,0.707,2590
2024-06-12,0.687,2698
2024-06-12,0.687,3041
2024-06-12,0.678,3645
2024-06-12,0.677,4422
2024-06-12,0.677,4034
2024-06-12,0.67,4288
2024-06-12,0.663,3727
2024-06-12,0.679,4530
2024-06-12,0.671,4793
2024-06-12,0.671,4531
2024-06-12,0.663,5407
2024-06-12,0.659,5099
2024-06-12,0.663,4302
2024-06-12,0.663,3630
2024-06-13,0.679,2958
2024-06-13,0.695,2957
2024-06-13,0.703,3216
2024-06-13,0.718,2659
2024-06-13,0.732,3107
2024-06-13,0.727,2482
2024-06-13,0.727,2463
2024-06-13,0.735,2570
2024-06-13,0.701,2084
2024-06-13,0.696,2398
2024-06-13,0.663,2295
2024-06-13,0.661,2986
2024-06-13,0.667,3271
2024-06-13,0.661,3124
2024-06-13,0.659,3216
2024-06-13,0.649,3532
2024-06-13,0.652,3809
2024-06-13,0.659,4175
2024-06-13,0.659,4421
2024-06-13,0.659,4274
2024-06-13,0.667,4598
2024-06-13,0.656,4091
2024-06-13,0.663,3634
2024-06-13,0.671,3066
2024-06-14,0.69,2804
2024-06-14,0.699,3317
2024-06-14,0.718,2741
2024-06-14,0.718,2960
2024-06-14,0.727,3116
2024-06-14,0.727,2547
2024-06-14,0.735,2749
2024-06-14,0.733,2380
2024-06-14,0.716,2406
2024-06-14,0.707,2215
2024-06-14,0.703,2577
2024-06-14,0.692,2446
2024-06-14,0.686,2478
2024-06-14,0.694,3183
2024-06-14,0.69,3218
2024-06-14,0.696,3569
2024-06-14,0.703,3951
2024-06-14,0.707,4474
2024-06-14,0.715,4344
2024-06-14,0.703,3759
2024-06-14,0.716,4266
2024-06-14,0.708,3670
2024-06-14,0.718,3929
2024-06-14,0.735,3539
2024-06-15,0.742,3328
2024-06-15,0.746,3278
2024-06-15,0.75,3402
2024-06-15,0.758,4630
2024-06-15,0.758,3956
2024-06-15,0.757,3227
2024-06-15,0.76,3208
2024-06-15,0.758,2564
2024-06-15,0.742,2203
2024-06-15,0.735,2481
2024-06-15,0.733,2614
2024-06-15,0.733,3007
2024-06-15,0.717,2458
2024-06-15,0.725,2818
2024-06-15,0.742,3623
2024-06-15,0.742,3206
2024-06-15,0.729,2987
2024-06-15,0.749,3781
2024-06-15,0.745,3530
2024-06-15,0.755,3979
2024-06-15,0.75,3547
2024-06-15,0.758,3808
2024-06-15,0.758,3653
2024-06-15,0.758,2995
2024-06-16,0.766,2935
2024-06-16,0.766,2352
2024-06-16,0.766,2992
2024-06-16,0.774,3312
2024-06-16,0.774,3329
2024-06-16,0.774,2912
2024-06-16,0.774,2231
2024-06-16,0.774,2944
2024-06-16,0.758,2220
2024-06-16,0.75,2191
2024-06-16,0.742,2276
2024-06-16,0.748,2524
2024-06-16,0.75,2726
2024-06-16,0.74,2468
2024-06-16,0.743,2942
2024-06-16,0.733,2861
2024-06-16,0.739,3218
2024-06-16,0.745,3431
2024-06-16,0.75,3656
2024-06-16,0.75,3717
2024-06-16,0.762,3680
2024-06-16,0.758,3197
2024-06-16,0.754,2632
