frac_price,frac_volume,disc_frac_price,disc_frac_volume,disc_combined
0.06254709871891473,0.18721461187214605,25,5,275
-0.05035460992907803,0.023076923076922995,15,4,215
0.0,-0.06390977443609025,19,3,169
0.0014936519790889058,0.10040160642570273,19,5,269
-0.031319910514541416,0.06204379562043805,17,4,217
-0.040800615858352485,-0.05841924398625431,16,3,166
0.008828250401283988,-0.1021897810218978,20,3,170
0.013524264120923002,-0.05691056910569103,20,3,170
-0.0007849293563579884,-0.10344827586206895,19,3,169
0.030636292223095163,0.05288461538461542,22,4,222
-0.003810975609756184,0.29680365296803646,19,6,319
-0.007651109410864554,0.2183098591549295,19,5,269
0.010794140323824308,-0.08670520231213874,20,3,170
0.0,-0.08544303797468356,19,3,169
0.019832189168573544,-0.04152249134948094,21,3,171
-0.01421091997008217,0.03971119133573997,18,4,218
