date,price_usd,volume
2014-10-22,1.933,1076
2014-10-23,1.896,1168
2014-10-24,1.948,1326
2014-10-25,2.009,1416
2014-10-26,1.749,1662
2014-10-27,1.727,1252
2014-10-28,1.795,1163
2014-10-29,1.822,1155
2014-10-30,2.138,1105
2014-10-31,1.745,1818
2014-11-01,1.774,1738
2014-11-02,1.743,1692
2014-11-03,1.772,1192
2014-11-04,1.803,1133
2014-11-05,1.806,1114
2014-11-06,1.836,1136
2014-11-07,1.811,1340
2014-11-08,1.885,1449
2014-11-09,1.816,1348
2014-11-10,1.82,1210
2014-11-11,1.796,1252
2014-11-12,1.419,2493
2014-11-13,1.485,1652
2014-11-14,1.56,1505
2014-11-15,1.571,1576
2014-11-16,1.601,1508
2014-11-17,1.597,1298
2014-11-18,1.648,1082
2014-11-19,1.629,1033
2014-11-20,1.6,1033
2014-11-21,1.52,1267
2014-11-22,1.545,1329
2014-11-23,1.53,1296
2014-11-24,1.527,1160
2014-11-25,1.669,1020
2014-11-26,1.682,1208
2014-11-27,1.714,1629
2014-11-28,1.735,1573
2014-11-29,2.39,317
2014-11-30,1.66,2634
2014-12-01,1.426,1444
2014-12-02,1.563,1404
2014-12-03,1.733,1310
2014-12-04,1.801,1126
2014-12-05,1.909,1367
2014-12-06,2.013,1545
2014-12-07,1.91,1500
2014-12-08,1.842,1311
2014-12-09,1.884,1148
2014-12-10,1.856,1380
2014-12-11,1.941,1203
2014-12-12,1.932,1287
2014-12-13,1.913,1558
2014-12-14,1.898,1514
2014-12-15,1.876,1342
2014-12-16,1.787,1257
2014-12-17,1.851,1374
2014-12-18,1.872,1384
2014-12-19,1.858,1653
2014-12-20,1.76,1649
2014-12-21,1.773,1601
2014-12-22,1.739,1666
2014-12-23,1.828,1454
2014-12-24,1.762,1651
2014-12-25,1.966,1763
2014-12-26,2.042,1733
2014-12-27,2.013,1874
2014-12-28,2.1,1646
2014-12-29,2.075,1653
2014-12-30,2.132,1661
2014-12-31,2.188,1527
2015-01-01,2.101,1478
2015-01-02,2.13,1935
2015-01-03,2.207,1763
2015-01-04,2.22,1586
2015-01-05,2.241,1610
2015-01-06,2.279,1451
2015-01-07,2.381,1298
2015-01-08,2.364,1512
2015-01-09,2.432,2274
2015-01-10,2.744,2434
2015-01-11,2.734,2154
2015-01-12,2.71,1763
2015-01-13,2.799,1661
2015-01-14,2.738,1672
2015-01-15,2.753,1640
2015-01-16,2.57,1919
2015-01-17,2.525,1923
2015-01-18,2.521,1817
2015-01-19,2.519,1693
2015-01-20,2.522,1531
2015-01-21,2.525,1456
2015-01-22,2.529,1515
2015-01-23,2.618,1668
2015-01-24,2.641,1862
2015-01-25,2.438,1977
2015-01-26,2.415,1733
2015-01-27,2.438,1594
2015-01-28,2.521,1462
2015-01-29,2.413,1654
2015-01-30,2.444,1889
2015-01-31,2.483,1946
2015-02-01,2.373,2050
2015-02-02,2.344,1608
2015-02-03,2.409,1569
2015-02-04,2.461,1448
2015-02-05,2.426,1606
2015-02-06,2.383,1682
2015-02-07,2.49,2042
2015-02-08,2.325,1795
2015-02-09,2.404,1444
2015-02-10,2.424,1325
2015-02-11,2.376,1414
2015-02-12,2.365,1432
2015-02-13,2.332,1630
2015-02-14,2.412,1810
2015-02-15,2.344,1828
2015-02-16,2.332,1689
2015-02-17,2.376,1519
2015-02-18,2.448,1374
2015-02-19,2.437,1352
2015-02-20,2.372,1605
2015-02-21,2.441,1397
2015-02-22,2.457,1407
2015-02-23,2.469,1292
2015-02-24,2.481,1192
2015-02-25,2.476,1186
2015-02-26,2.524,1175
2015-02-27,2.407,1448
2015-02-28,2.452,1580
2015-03-01,2.474,1487
2015-03-02,2.527,1160
2015-03-03,2.549,1179
2015-03-04,2.495,1154
2015-03-05,2.467,1259
2015-03-06,2.483,1388
2015-03-07,2.444,1519
2015-03-08,2.426,1419
2015-03-09,2.4,1213
2015-03-10,2.436,1076
2015-03-11,2.416,1004
2015-03-12,2.435,1135
2015-03-13,2.347,1495
2015-03-14,2.362,1790
2015-03-15,2.241,1771
2015-03-16,2.173,1450
2015-03-17,2.391,1175
2015-03-18,2.398,1060
2015-03-19,2.444,1100
2015-03-20,2.402,1343
2015-03-21,2.407,1509
2015-03-22,2.435,1270
2015-03-23,2.426,1264
2015-03-24,2.428,1148
2015-03-25,2.504,1186
2015-03-26,2.475,1149
2015-03-27,2.478,1333
2015-03-28,2.501,1553
2015-03-29,2.381,1494
2015-03-30,2.394,1272
2015-03-31,2.482,1221
2015-04-01,2.441,1564
2015-04-02,2.538,1333
2015-04-03,2.564,1471
2015-04-04,2.486,1734
2015-04-05,2.575,1485
2015-04-06,2.595,1484
2015-04-07,2.68,1439
2015-04-08,2.7,1352
2015-04-09,2.675,1299
2015-04-10,2.728,1230
2015-04-11,2.63,1604
2015-04-12,2.586,1430
2015-04-13,2.518,1251
2015-04-14,2.485,1205
2015-04-15,2.494,1131
2015-04-16,2.287,2300
2015-04-17,2.371,2361
2015-04-18,2.422,2149
2015-04-19,2.361,1638
2015-04-20,2.244,1657
2015-04-21,2.237,1576
2015-04-22,2.226,1359
2015-04-23,2.201,1420
2015-04-24,2.113,1729
2015-04-25,2.077,1951
2015-04-26,2.016,1693
2015-04-27,1.95,1544
2015-04-28,2.014,1369
2015-04-29,2.017,1280
2015-04-30,2.099,1509
2015-05-01,2.019,1627
2015-05-02,1.923,1907
2015-05-03,1.905,1687
2015-05-04,1.807,1657
2015-05-05,1.895,1321
2015-05-06,1.852,1380
2015-05-07,1.877,1338
2015-05-08,1.814,1602
2015-05-09,1.811,1669
2015-05-10,1.791,1623
2015-05-11,1.764,1361
2015-05-12,1.826,1228
2015-05-13,1.82,1209
2015-05-14,1.817,1271
2015-05-15,1.81,1280
2015-05-16,1.832,1586
2015-05-17,1.777,1465
2015-05-18,1.788,1268
2015-05-19,1.798,1135
2015-05-20,1.812,1174
2015-05-21,1.813,1153
2015-05-22,1.779,1307
2015-05-23,1.759,1581
2015-05-24,1.737,1400
2015-05-25,1.717,1340
2015-05-26,1.72,1238
2015-05-27,1.278,2644
2015-05-28,1.483,1953
2015-05-29,1.617,1799
2015-05-30,1.659,1749
2015-05-31,1.68,1606
2015-06-01,1.708,1604
2015-06-02,1.718,1346
2015-06-03,1.685,1425
2015-06-04,1.628,1352
2015-06-05,1.502,1547
2015-06-06,1.564,1376
2015-06-07,1.564,1432
2015-06-08,1.564,1308
2015-06-09,1.638,1230
2015-06-10,1.635,1368
2015-06-11,1.511,1401
2015-06-12,1.342,1698
2015-06-13,1.337,1758
2015-06-14,1.285,1699
2015-06-15,1.265,1667
2015-06-16,1.287,1463
2015-06-17,1.294,1496
2015-06-18,1.286,1461
2015-06-19,1.322,1510
2015-06-20,1.325,1573
2015-06-21,1.264,1507
2015-06-22,1.307,1507
2015-06-23,1.451,1219
2015-06-24,1.57,1211
2015-06-25,1.606,1174
2015-06-26,1.601,1222
2015-06-27,1.599,1202
2015-06-28,1.584,1294
2015-06-29,1.62,1234
2015-06-30,1.616,1231
2015-07-01,1.643,1187
2015-07-02,1.629,1219
2015-07-03,1.652,1147
2015-07-04,1.632,1160
2015-07-05,1.661,1098
2015-07-06,1.658,1171
2015-07-07,1.645,1176
2015-07-08,1.632,1043
2015-07-09,1.671,1209
2015-07-10,1.686,1084
2015-07-11,1.669,1174
2015-07-12,1.665,1209
2015-07-13,1.655,1170
2015-07-14,1.641,1096
2015-07-15,1.653,1169
2015-07-16,1.691,1128
2015-07-17,1.677,1101
2015-07-18,1.689,1067
2015-07-19,1.689,1097
2015-07-20,1.675,1183
2015-07-21,1.714,1096
2015-07-22,1.728,984
2015-07-23,1.664,1157
2015-07-24,1.687,981
2015-07-25,1.705,1010
2015-07-26,1.654,1018
2015-07-27,1.667,1195
2015-07-28,1.668,1008
2015-07-29,1.653,1071
2015-07-30,1.66,1089
2015-07-31,1.64,1140
2015-08-01,1.627,1060
2015-08-02,1.595,1175
2015-08-03,1.639,1107
2015-08-04,1.692,1073
2015-08-05,1.679,1039
2015-08-06,1.682,1025
2015-08-07,1.681,1027
2015-08-08,1.669,972
2015-08-09,1.675,1007
2015-08-10,1.663,1063
2015-08-11,1.666,1043
2015-08-12,1.649,965
2015-08-13,1.675,1005
2015-08-14,1.645,1024
2015-08-15,1.455,1472
2015-08-16,1.462,1196
2015-08-17,1.537,1110
2015-08-18,1.56,991
2015-08-19,1.575,958
2015-08-20,1.584,1120
2015-08-21,1.505,1387
2015-08-22,1.562,1328
2015-08-23,1.431,1553
2015-08-24,1.454,1424
2015-08-25,1.616,1146
2015-08-26,1.737,1049
2015-08-27,1.736,1024
2015-08-28,1.799,1035
2015-08-29,1.785,1098
2015-08-30,1.806,1100
2015-08-31,1.815,1018
2015-09-01,1.874,1023
2015-09-02,1.866,996
2015-09-03,1.839,956
2015-09-04,1.845,1000
2015-09-05,1.864,1165
2015-09-06,1.841,1067
2015-09-07,1.886,903
2015-09-08,1.872,897
2015-09-09,1.917,721
2015-09-10,1.91,862
2015-09-11,1.889,1053
2015-09-12,1.872,1166
2015-09-13,1.854,1097
2015-09-14,1.868,930
2015-09-15,1.907,852
2015-09-16,1.947,1037
2015-09-17,1.951,905
2015-09-18,1.981,1856
2015-09-19,2.313,1988
2015-09-20,2.283,1590
2015-09-21,2.203,1201
2015-09-22,2.199,1147
2015-09-23,2.163,989
2015-09-24,2.109,1041
2015-09-25,2.107,1107
2015-09-26,2.122,1250
2015-09-27,2.045,1219
2015-09-28,2.039,919
2015-09-29,1.967,949
2015-09-30,1.931,974
2015-10-01,1.963,978
2015-10-02,1.975,1122
2015-10-03,1.981,1204
2015-10-04,1.93,1083
2015-10-05,1.999,877
2015-10-06,2.046,804
2015-10-07,2.001,843
2015-10-08,1.999,907
2015-10-09,2.017,930
2015-10-10,2.043,1079
2015-10-11,2.013,1045
2015-10-12,2.023,854
2015-10-13,1.995,786
2015-10-14,1.97,858
2015-10-15,1.921,845
2015-10-16,1.954,898
2015-10-17,1.926,1076
2015-10-18,1.885,998
2015-10-19,1.927,731
2015-10-20,1.924,774
2015-10-21,1.796,894
2015-10-22,1.801,692
2015-10-23,1.808,922
2015-10-24,1.824,1067
2015-10-25,1.808,1038
2015-10-26,1.83,797
2015-10-27,1.86,705
