market_hash_name,hash
'Desert Eagle | Sunset Storm 弐 (Factory New)',6590986607371169613333412066281214080347838275955656755512758468816510560678
'PP-Bizon | Blue Streak (Well-Worn)',90865662692346592995349533022433782244804704068210265540180632189901002311787
'SCAR-20 | Outbreak (Minimal Wear)',17632582163847548152435088755511939335372358264156055234213262429085303819171
'AWP | Containment Breach (Field-Tested)',34383840061078889585461104805730822946121758224063003269284298685859431916031
'Souvenir MP9 | Setting Sun (Battle-Scarred)',53319076047102221970255735935350808130388564253577153198332266246423364301280
'Galil AR | Firefight (Well-Worn)',74493395857165719844905741857762988651171966313940732258647346511537588882087
'Sticker | KRIMZ | Cologne 2016',41097737733412182078398829336043167776831520236317414928096739816602419204627
'MP5-SD | Acid Wash (Factory New)',38550983806433585021361655100687983536022005833919012815557178209544918218128
'Sticker | karrigan (Foil) | Cologne 2015',7418639386028693136710996863556429536283808246834042241266790309125701127469
'G3SG1 | Flux (Minimal Wear)',74784829670127370956497193997376856015151488793611563294739682379653888778571
'StatTrak™ SG 553 | Atlas (Minimal Wear)',17495826015772888592353514803140876212976882973690893620981817848748350083809
'StatTrak™ R8 Revolver | Reboot (Field-Tested)',6011613398363269166517939939104772308683025317875945457470092220704561879964
'XM1014 | Quicksilver (Battle-Scarred)',31287175900135018972312598798450380957594953886773155757677117675556153333490
'G3SG1 | Orange Crash (Field-Tested)',58749926012484686033673727466865043711848355076074510799521757536971317103545
'StatTrak™ SG 553 | Cyrex (Minimal Wear)',72961775306244248315515204961049656525561795868691984124025943955649122077302
'StatTrak™ AUG | Bengal Tiger (Minimal Wear)',43434769566565719154146187531957296283482699090377681585635509002918944308245
'P2000 | Coach Class (Field-Tested)',53069124762384897832638811368035598790413150775078682782789896523565201405216
'M4A1-S | Mecha Industries (Battle-Scarred)',32681586062549519097581266868004923927180627281515307386363210566347612391753
'StatTrak™ MAC-10 | Curse (Factory New)',69751021303589347603636891894362749442985686275002091163427172861253227194349
'MAC-10 | Carnivore (Minimal Wear)',29202606726841133087960564389925822740148884297484431647582976353772033814017
'P2000 | Obsidian (Well-Worn)',100276091034982650976214764749879723408585402047559084159689293179572012540588
'CZ75-Auto | Indigo (Field-Tested)',59490763924911818729121592768668573287639608385539726851622324829996575568089
'MAC-10 | Classic Crate (Battle-Scarred)',58639881620459207737746160787886039004857921508441538805800080801947476961441
'StatTrak™ MP9 | Bioleak (Minimal Wear)',49823620229324285627131290755119705529347928378863649795227513218551766925316
'Tec-9 | Ice Cap (Field-Tested)',38247287560548469203879554491629342890556437757140275454527947155253913262046
'R8 Revolver | Memento (Field-Tested)',95185755569916263702009539134187618502018702166166818752066279938221782191888
'StatTrak™ CZ75-Auto | Polymer (Minimal Wear)',114617839159381691666884085186907646727945850685413195783961478332193757510269
'StatTrak™ M249 | Nebula Crusader (Field-Tested)',19834759209075925346105377982540790820287494780995305410206910642547799614503
'AK-47 | Orbit Mk01 (Field-Tested)',41054364546170990107020071099776975799494419640482663356978781666109534771693
'Five-SeveN | Jungle (Well-Worn)',77123130754496106062505424110783960171760950624706112079564975150199081857278
'StatTrak™ Five-SeveN | Monkey Business (Battle-Scarred)',83532519143252357012202993662038696784152439115531676369529351773807698285373
'M4A4 | Dark Blossom (Field-Tested)',9823692367696488761177610320053041993869247847968619359014300550481074881048
'StatTrak™ XM1014 | Red Python (Well-Worn)',42116844030384741234952944790650762380770615028462779207731406454281477492595
"'StatTrak™ Music Kit | Mord Fustang, Diamonds'",55785777987321740305200458243081350440680680997679544743724567285627997271609
'Sawed-Off | Highwayman (Battle-Scarred)',78856175509886789638821081979357045197072436340318084901715249664613943234551
'Sticker | Crown (Foil)',85266243915327364527260630835365831829805665309176674206878410576234084659660
'XM1014 | Black Tie (Minimal Wear)',76425783375669467186357181778868994385854615876623797237963066709625485018668
'AK-47 | Point Disarray (Factory New)',104557496057782120264800647336593562401205896476119729394978546649683256644129
'StatTrak™ Sawed-Off | Fubar (Battle-Scarred)',79065398828581857516676759834824219635748046977436306095145829099509930676308
'Sticker | Luck Skill (Foil)',105695060275085574050502791370304943262295436096580496294970948465663857010100
'StatTrak™ UMP-45 | Briefing (Minimal Wear)',74150874761591682183461725515086462697875280705020524189699630401933675011697
'Sawed-Off | Yorick (Minimal Wear)',51921509428371659395693051053423083383963230636600267400777677866276416880082
'★ Hydra Gloves | Rattler (Field-Tested)',51449052548377877460592816290310624166073802078095953070546626107595600689409
'M4A1-S | Decimator (Minimal Wear)',48626366911848098222568365221099090095829953956719938043621613260189058041640
'StatTrak™ MP9 | Modest Threat (Well-Worn)',93108022922198197656625923931651809449960440126910407669561704406366939697728
'Dual Berettas | Balance (Minimal Wear)',97635301296217525275548538204020858258144569283742997651402532630273592144296
'Sticker | Stupid Banana (Foil)',101153935583162248913095798289617402166668342732383694317748860027644947987975
'MP9 | Slide (Factory New)',48240615463244934926510761272764122476005524227777650639618499955342421338640
'Sticker | Supreme Master First Class',94771949399193825913049466217426950375042266189901344889633889502374685758454
'StatTrak™ M249 | Spectre (Field-Tested)',104806291246570931643186859844132449050107860523311959338284779570990043716676
'PP-Bizon | Embargo (Field-Tested)',48217812497719131416716379689449033435363825390524740996825191919788107596451
"'Music Kit | Sean Murray, A*D*8'",69336999857007313056460254345012071049139335772707593185149596198287226385723
'SCAR-20 | Torn (Minimal Wear)',63273457911358994587223666966988352389093257331567733503523476169561571693483
'MAC-10 | Carnivore (Field-Tested)',12375979792334015544452660761574865647439174725536993744494042554815996406391
'StatTrak™ Sawed-Off | Highwayman (Minimal Wear)',61909943241082979565266464260024991438322913708986615544509761996935653470766
'StatTrak™ CZ75-Auto | Pole Position (Well-Worn)',23256127735843771648974479766061159741329801097924286972874030999206997924763
'StatTrak™ AUG | Torque (Well-Worn)',92557248616062816030751221884148141238659206916990174586831562050230075985484
'StatTrak™ Glock-18 | Ironwork (Field-Tested)',100850478795396996003703673707138932363057732266924128438498173120451076026859
'Sticker | NiKo | Cluj-Napoca 2015',40644630105853728833365490688863025289443448796571111227160876090111995004900
'MP7 | Impire (Field-Tested)',111094405595666692668745996755006836047762713244951468467513906995996233784043
'MAG-7 | Praetorian (Field-Tested)',62437273576903588026565570295235407441256504680430502914190228607103571006114
'StatTrak™ Dual Berettas | Cartel (Field-Tested)',105643037376046409806597912782877704553711770666383078451119944479989625742031
'MAC-10 | Nuclear Garden (Battle-Scarred)',44392078373022489921427294391001613890978493807753644007240803875378480467949
'StatTrak™ Dual Berettas | Balance (Field-Tested)',47864056170769226284539336716655029270784328567900348136011243938415765849481
'FAMAS | Decommissioned (Well-Worn)',113482108150983567187113468334599749625604364458686225601758952431151559858817
'StatTrak™ G3SG1 | Orange Crash (Field-Tested)',96502485224455248367507300036739763138036452208184564720328911288790133216817
'SCAR-20 | Powercore (Field-Tested)',77781605755475281371667304671882000557845382876288978264918946759415826550788
'R8 Revolver | Canal Spray (Minimal Wear)',36700927550829335404934937637396618503529283814891976132590578741369757223400
'StatTrak™ PP-Bizon | Photic Zone (Well-Worn)',102436826332342511209127155885458430125119171691470158292495491291837452728596
'SCAR-20 | Stone Mosaico (Minimal Wear)',50759747346430108772314017719858472009494054717018089854691386046152818169932
'XM1014 | Scumbria (Battle-Scarred)',88746217743731810313673387041841730066809758738437011392911427037342828374835
'★ Karambit | Ultraviolet (Field-Tested)',58722208875006809786411191127155075440329837666753462695006908187280442393829
'★ Bayonet | Damascus Steel (Field-Tested)',106354650173489372567023076305587434251138149706069253017215330630569915992843
'FAMAS | Styx (Battle-Scarred)',66681294112760511020558197072219592426836483741303962633593058880676475716029
'AUG | Navy Murano (Minimal Wear)',22232052690596515617203992310118405845449023719104273276476219309031550188947
'StatTrak™ MAC-10 | Carnivore (Minimal Wear)',59228711626404168862642429281484258993374537275718328041217592892748006473429
'Dual Berettas | Pyre (Minimal Wear)',100361196924891386039955206399996265034658630446140154102040183922475246063010
'StatTrak™ P250 | Verdigris (Well-Worn)',52111792772301557775976016807739455514264997097575789612150687307465821294453
'StatTrak™ Glock-18 | Ironwork (Well-Worn)',17639071767185243998480546472294887815850092789075160127520617967978380411190
'★ Falchion Knife | Fade (Factory New)',78241511047073754723283336574138035422048961047778334834123877136939857457241
'StatTrak™ MAC-10 | Lapis Gator (Factory New)',164223579749700897978550787372890797442640364338807048149235360147010186292
'M4A1-S | Flashback (Battle-Scarred)',62853223119571061613655091188525900874783754952171584604767102631708910598397
'StatTrak™ XM1014 | Scumbria (Minimal Wear)',62291128081911554589826913390923224585497293107268813615529080619048037490846
'Glock-18 | Royal Legion (Battle-Scarred)',71140533424451743809769300353339252161869007976134793913958339777239253842959
'SCAR-20 | Army Sheen (Factory New)',93612775174471886230326002235214617402703885455916437160802676519274728560032
'Tec-9 | Flash Out (Field-Tested)',39125733925894599783323404100464118063226845241564641850143101779992667392494
'StatTrak™ Dual Berettas | Balance (Minimal Wear)',57295077235114395948172466800508217696473240657603207362793976160293509149651
'G3SG1 | Black Sand (Minimal Wear)',90689007749536865721293420430691089676446328218843971864338557017665381832466
'Nova | Ranger (Factory New)',61147009785087933551756703844623863104214228363248561290885190654187133291322
'Sticker | Silver',11599007685394186823632384093414512684973130009371516335892004382181119923553
'StatTrak™ AK-47 | Frontside Misty (Well-Worn)',12991075836822918451175061777408775860921536925088107820544877555422741014914
'Negev | Power Loader (Well-Worn)',31161013519953313805034630216338922577750654052387456430722667110082605887717
'M4A1-S | Flashback (Factory New)',63058731656690631354409710011933596244747099170401598213749262725998163908374
'USP-S | Para Green (Well-Worn)',39418844821593242317071662216199644416385388493001291990399408474223383961250
'SCAR-20 | Torn (Factory New)',87864728174972470338036102822894400942990701812315144012975316478194476512369
'MP5-SD | Acid Wash (Minimal Wear)',34494404854889640084262297932550132744730389806026754578852521493810166419622
'P250 | Iron Clad (Field-Tested)',108648868244120966823140971505631094531165382097870749157551578652514792585772
'XM1014 | Slipstream (Factory New)',62434445722109842298196141430096985210403712160990854138848351963834338696776
'Sawed-Off | Limelight (Minimal Wear)',72276875549333938891653549337884350439254106850621207368528681528777568052462
'G3SG1 | Orange Kimono (Factory New)',48278637804110241050864187265266086681250918787298529763095965674201084577462
'StatTrak™ XM1014 | Quicksilver (Battle-Scarred)',67600599758494386106846906079985480905165424670363957043671275252018954700897
